Sector,Company Name,Industry,Symbol,Series,ISIN Code,NSE Symbol
nifty200,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,NSE:ASHOKLEY
nifty200,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NSE:NATIONALUM
nifty200,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,NSE:SHRIRAMFIN
